Area Name,2013 Q4 Total businesses,2013 Q4 Dept store sales,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 250K to 500K,2013 Q4 Households with Net Asset Value 500K to 750K,2013 Q4 Households with Net Asset Value 750K to 1M,2013 Q4 Households with Net Asset Value 1M to 2M,2013 Q4 Households with Net Asset Value 2M Plus,2013 Q4 Pop Age 0-4,2013 Q4 Pop Age 5-9 ,2013 Q4 Pop Age 10-14,2013 Q4 Pop Age 15-19 ,2013 Q4 Pop Age 20-24,2013 Q4 Pop Age 25-29 ,2013 Q4 Pop Age 30-34,2013 Q4 Pop Age 35-39 ,2013 Q4 Pop Age 40-44,2013 Q4 Pop Age 45-49 ,2013 Q4 Pop Age 50-54,2013 Q4 Pop Age 55-59 ,2013 Q4 Pop Age 60-64,2013 Q4 Pop Age 65-69,2013 Q4 Pop Age 70-74,2013 Q4 Pop Age 75-79,2013 Q4 Pop Age 80-84,2013 Q4 Pop Age 85+,2013 Q4 HHs Age 85+,2013 Q4 HHs Age 75-84,2013 Q4 HHs Age 65-74,2013 Q4 HHs Age 55-64,2013 Q4 HHs Age 45-54,2013 Q4 HHs Age 35-44,2013 Q4 HHs Age 25-34,2013 Q4 HHs Age 15-24 ,2013 Q4 Median HH Age,2013 Q4 Average HH Age,2013 Q4 White Pop Age 0-4,2013 Q4 White Pop Age 5-9,2013 Q4 White Pop Age 10-14,2013 Q4 White Pop Age 15-19,2013 Q4 White Pop Age 20-24,2013 Q4 White Pop Age 25-29,2013 Q4 White Pop Age 30-34,2013 Q4 White Pop Age 35-39,2013 Q4 White Pop Age 40-44,2013 Q4 White Pop Age 45-49,2013 Q4 White Pop Age 50-54,2013 Q4 White Pop Age 55-59,2013 Q4 White Pop Age 60-64,2013 Q4 White Pop Age 65-69,2013 Q4 White Pop Age 70-74,2013 Q4 White Pop Age 75-79,2013 Q4 White Pop Age 80-84,2013 Q4 White Pop Age 85+,2013 Q4 Black Pop Age 0-4,2013 Q4 Black Pop Age 5-9,2013 Q4 Black Pop Age 10-14,2013 Q4 Black Pop Age 15-19,2013 Q4 Black Pop Age 20-24,2013 Q4 Black Pop Age 25-29,2013 Q4 Black Pop Age 30-34,2013 Q4 Black Pop Age 35-39,2013 Q4 Black Pop Age 40-44,2013 Q4 Black Pop Age 45-49,2013 Q4 Black Pop Age 50-54,2013 Q4 Black Pop Age 55-59,2013 Q4 Black Pop Age 60-64,2013 Q4 Black Pop Age 65-69,2013 Q4 Black Pop Age 70-74,2013 Q4 Black Pop Age 75-79,2013 Q4 Black Pop Age 80-84,2013 Q4 Black Pop Age 85+,2013 Q4 Asian Pop Age 0-4,2013 Q4 Asian Pop Age 5-9,2013 Q4 Asian Pop Age 10-14,2013 Q4 Asian Pop Age 15-19,2013 Q4 Asian Pop Age 20-24,2013 Q4 Asian Pop Age 25-29,2013 Q4 Asian Pop Age 30-34,2013 Q4 Asian Pop Age 35-39,2013 Q4 Asian Pop Age 40-44,2013 Q4 Asian Pop Age 45-49,2013 Q4 Asian Pop Age 50-54,2013 Q4 Asian Pop Age 55-59,2013 Q4 Asian Pop Age 60-64,2013 Q4 Asian Pop Age 65-69,2013 Q4 Asian Pop Age 70-74,2013 Q4 Asian Pop Age 75-79,2013 Q4 Asian Pop Age 80-84,2013 Q4 Asian Pop Age 85+,2013 Q4 Hispanic Pop Age 0-4,2013 Q4 Hispanic Pop Age 5-9 ,2013 Q4 Hispanic Pop Age 10-14,2013 Q4 Hispanic Pop Age 15-19 ,2013 Q4 Hispanic Pop Age 20-24,2013 Q4 Hispanic Pop Age 25-29 ,2013 Q4 Hispanic Pop Age 30-34,2013 Q4 Hispanic Pop Age 35-39 ,2013 Q4 Hispanic Pop Age 40-44,2013 Q4 Hispanic Pop Age 45-49 ,2013 Q4 Hispanic Pop Age 50-54,2013 Q4 Hispanic Pop Age 55-59 ,2013 Q4 Hispanic Pop Age 60-64,2013 Q4 Hispanic Pop Age 65-69,2013 Q4 Hispanic Pop Age 70-74,2013 Q4 Hispanic Pop Age 75-79,2013 Q4 Hispanic Pop Age 80-84,2013 Q4 Hispanic Pop Age 85+,2013 Q4 No High School Diploma,2013 Q4 High School Diploma,2013 Q4 Some College,2013 Q4 Bachelors Degree,2013 Q4 Advanced Degree
BUTTE-BOZEMAN (754),"12,504","$276,804 ","44,517","6,680","3,617","2,784","7,454","3,676","1,307",700,856,772,"10,462","9,727","9,485","11,343","14,801","13,420","11,914","10,637","10,180","10,772","12,122","12,575","11,347","8,485","6,048","4,182","2,984","3,344","2,357","5,048","9,427","14,599","13,271","11,593","12,257","3,811",51.4,50.9,"9,235","8,946","8,910","10,693","13,456","12,841","11,409","10,250","9,932","10,584","11,950","12,370","11,047","8,137","5,765","3,905","2,843","3,135",60,83,90,96,100,86,79,65,47,31,36,34,16,15,7,1,0,0,71,93,92,150,257,170,157,115,103,96,72,61,59,26,14,18,12,4,562,500,455,555,574,459,399,324,291,301,263,213,124,72,54,42,22,31,"7,446","31,850","36,257","28,294","14,163"
GREAT FALLS (755),"11,906","$312,170 ","44,793","6,032","3,026","2,396","6,382","3,080",860,511,646,590,"10,943","11,189","11,076","11,236","11,056","10,814","9,979","9,025","9,056","10,506","12,343","12,425","11,009","8,646","6,800","5,235","3,955","4,499","3,112","6,356","9,845","14,045","12,939","9,612","9,516","2,891",54.4,53.6,"8,145","7,881","8,212","8,814","8,106","8,787","7,826","7,143","7,719","9,285","11,101","11,060","9,715","7,455","5,981","4,616","3,569","3,929",115,123,80,130,293,168,128,77,82,55,51,51,20,19,24,15,4,7,44,51,42,83,78,101,72,71,74,76,67,67,59,28,22,18,10,10,689,504,465,484,624,396,261,238,209,198,170,154,94,54,42,29,25,12,"12,664","35,587","41,492","17,521","7,028"
BILLINGS (756),"21,932","$673,310 ","71,392","10,993","5,702","4,536","12,270","5,841","1,770","1,047","1,313","1,320","17,597","17,990","18,004","18,087","16,790","17,084","16,995","15,925","16,225","18,026","20,859","21,413","19,594","15,272","11,093","8,057","6,040","6,871","4,692","9,774","16,909","24,767","22,327","17,434","15,884","4,397",54.1,53.3,"14,529","14,774","15,143","15,715","13,489","15,341","15,177","14,281","15,003","17,170","19,923","20,452","18,542","14,074","10,143","7,506","5,632","6,300",150,133,151,198,157,164,126,91,85,91,92,70,48,25,14,22,3,3,66,93,112,181,159,114,110,117,130,123,125,104,87,50,39,27,14,14,"1,545","1,390","1,369","1,202",965,870,789,763,655,676,578,462,356,212,189,132,74,67,"16,940","62,358","62,420","36,792","14,944"
BOISE (757),"38,610","$1,420,819 ","166,952","28,015","14,156","11,227","28,694","14,046","4,681","2,475","3,105","3,065","52,912","56,787","57,143","53,662","49,446","49,951","51,539","49,960","49,467","49,168","49,040","46,137","41,234","32,499","23,430","16,345","11,434","12,821","8,625","18,668","34,714","50,948","53,880","51,386","45,499","12,696",50.3,50.6,"48,123","51,423","52,263","48,808","41,988","46,845","48,959","47,327","47,429","47,572","47,596","44,498","39,606","30,577","21,385","14,920","10,505","11,455",792,919,862,828,796,716,635,626,519,453,373,252,157,85,76,23,22,14,898,"1,080",947,915,987,"1,252","1,317","1,359","1,161",986,907,738,577,389,242,227,189,184,"13,224","12,113","11,197","10,042","8,579","8,787","7,945","7,319","6,224","4,972","3,788","2,831","1,984","1,238",812,527,308,268,"55,048","128,350","168,958","89,265","41,404"
IDAHO FALLS-POC (758),"21,423","$768,902 ","83,754","12,483","6,119","5,236","12,523","6,051","2,094","1,107","1,225","1,185","30,256","30,812","29,135","29,459","30,092","28,539","26,341","22,811","20,480","20,529","21,913","21,714","19,236","14,858","10,843","7,844","5,599","5,788","3,857","9,020","15,994","23,948","23,585","22,763","24,958","7,652",49.5,49.7,"28,361","28,509","26,704","27,335","26,787","27,388","25,198","21,492","19,688","19,896","21,341","21,113","18,560","14,060","10,238","7,413","5,219","5,191",250,275,283,271,257,207,146,129,119,146,102,81,47,24,21,10,14,12,206,260,215,246,351,329,278,275,226,245,216,224,154,97,61,45,47,61,"5,635","4,905","4,363","4,152","4,065","3,784","3,213","2,830","2,338","2,109","1,622","1,076",659,473,291,203,103,80,"22,426","60,999","83,089","41,878","18,103"
CHEY-SCTTS (759),"8,916","$444,479 ","37,721","5,307","2,898","2,388","6,037","2,988",998,553,677,745,"9,877","9,919","9,485","9,348","9,736","9,985","9,396","8,703","8,610","9,391","10,450","10,462","9,478","7,279","5,388","4,055","3,026","3,333","2,299","4,945","8,180","12,135","11,506","9,513","9,163","2,571",52.7,52.3,"8,871","8,781","8,348","8,653","8,530","9,336","8,716","8,114","8,251","9,098","10,112","10,153","9,162","6,974","5,111","3,847","2,870","3,052",263,213,201,287,383,271,226,185,149,169,196,139,102,37,49,29,22,19,86,114,69,101,114,108,100,121,92,88,116,96,85,46,31,30,29,31,"2,600","2,331","2,033","1,944","1,811","1,646","1,472","1,347","1,222","1,189","1,165",994,737,500,396,280,209,156,"9,382","29,559","37,939","15,209","7,467"
TWIN FALLS (760),"12,313","$299,689 ","45,905","6,067","2,960","2,249","5,797","2,751",723,436,556,508,"13,915","14,891","14,490","13,742","12,022","11,785","11,931","11,223","10,675","11,063","11,962","11,694","10,497","8,448","6,453","4,791","3,427","3,700","2,434","5,493","9,256","12,962","12,754","11,425","10,559","3,069",52,51.8,"13,310","13,754","13,065","12,773","10,546","11,391","11,598","10,764","10,377","10,894","11,780","11,497","10,256","8,208","6,202","4,638","3,310","3,436",144,144,111,128,130,57,42,60,46,36,33,24,8,7,3,3,5,2,109,132,120,138,130,127,127,151,90,118,115,112,83,52,36,18,17,24,"5,392","4,803","4,118","3,963","3,544","3,628","3,352","2,963","2,303","2,119","1,597","1,116",779,470,352,223,121,85,"22,713","33,397","39,799","15,169","6,571"
MISSOULA (762),"21,337","$467,600 ","77,423","10,859","5,541","4,410","11,916","6,257","2,014","1,173","1,346","1,274","17,448","17,008","17,213","18,580","20,438","19,519","18,286","16,394","16,367","18,141","20,790","22,361","21,194","16,638","11,992","8,292","5,791","6,072","4,199","9,725","18,241","26,249","22,372","18,015","18,067","5,345",53.8,52.7,"14,699","14,786","15,404","16,791","17,726","18,044","17,026","15,042","15,409","17,553","20,191","21,707","20,246","15,418","10,874","7,418","5,252","5,342",93,119,79,156,138,98,115,71,71,55,76,45,32,15,13,8,6,3,139,126,154,192,277,219,217,208,155,157,157,119,102,45,33,36,27,16,869,865,815,887,784,622,535,465,463,437,370,293,244,172,112,64,41,37,"16,069","60,973","63,997","40,922","19,876"
JUNEAU (747),"3,067","$95,214 ","7,528","1,376",738,535,"1,420",756,231,127,148,118,"2,096","2,049","2,098","2,221","2,094","2,333","2,231","2,120","2,258","2,512","2,787","2,728","2,263","1,455",857,498,319,329,224,557,"1,455","2,950","2,955","2,287","2,022",527,50.6,49.9,"1,151","1,241","1,289","1,374","1,272","1,703","1,557","1,568","1,811","2,123","2,297","2,219","1,722",903,541,298,229,219,27,31,24,7,28,27,31,32,32,36,38,44,18,3,4,6,3,1,127,124,166,167,116,147,114,143,154,180,179,136,102,66,44,21,19,8,201,179,158,189,134,157,134,133,116,118,100,82,39,21,16,4,3,1,891,"5,314","8,377","5,085","3,023"
LAREDO (749),"9,355","$807,578 ","56,859","6,166","2,780","2,025","4,350","1,696",508,222,306,343,"24,578","26,530","26,177","25,413","22,099","19,665","18,765","19,043","18,264","16,405","14,667","12,361","10,276","7,964","5,827","4,226","3,070","3,078","1,765","4,221","7,405","11,358","14,720","16,585","14,417","4,784",46.3,47.7,"24,106","26,119","25,775","25,118","21,772","19,194","18,352","18,697","17,881","16,123","14,409","12,168","9,956","7,511","5,500","3,952","2,905","2,771",179,224,163,149,136,138,151,128,135,110,77,58,61,19,20,13,5,3,134,116,147,133,116,182,162,179,180,141,107,79,62,33,16,9,10,4,"24,167","26,309","25,879","24,941","21,083","18,955","18,289","18,542","17,606","15,548","13,551","10,999","8,961","6,704","4,962","3,636","2,732","2,476","57,089","32,758","37,779","18,506","7,479"
DENVER (751),"258,817","$7,943,134 ","969,302","151,420","78,858","66,434","182,690","100,989","37,149","21,846","29,293","35,625","283,977","285,403","278,358","274,477","287,828","306,635","308,478","295,701","293,003","291,547","297,844","281,812","244,780","178,640","120,716","83,510","59,819","64,944","44,911","98,681","190,540","314,674","333,407","320,020","295,863","75,510",49.4,49.7,"230,398","238,134","230,425","232,319","237,707","274,679","278,433","266,419","266,443","268,467","277,032","263,635","228,438","163,227","108,944","75,580","54,538","58,246","14,060","14,173","13,856","14,650","12,832","13,072","13,644","13,573","13,397","12,914","11,955","9,771","7,013","4,701","3,177","2,221","1,443","1,259","8,686","10,134","9,213","8,445","9,894","11,673","12,279","12,961","11,265","9,406","7,992","6,675","5,241","3,689","2,457","1,660","1,094",946,"96,626","94,932","83,730","77,458","71,960","75,282","74,352","69,001","58,091","49,580","39,780","30,128","22,484","14,685","10,509","7,202","4,579","3,468","293,075","625,697","833,128","693,159","382,370"
COLO SPRNGS-PBL (752),"46,603","$2,099,046 ","226,013","32,488","16,658","13,614","36,442","19,246","6,821","4,031","5,293","6,033","62,212","63,595","64,525","66,003","68,321","67,864","63,707","58,926","59,520","64,461","68,014","64,178","56,418","42,727","30,371","22,009","15,767","16,112","11,103","26,072","46,417","71,752","73,914","62,192","58,409","16,780",51.2,51.1,"50,651","50,926","52,196","55,062","54,287","58,366","54,607","50,860","52,929","58,475","62,107","59,292","52,181","38,692","27,530","19,819","14,244","14,253","3,825","3,976","4,022","4,467","4,421","4,438","4,269","3,806","3,805","3,855","3,565","2,535","1,654","1,129",827,618,333,251,"1,104","1,406","1,329","1,452","1,553","1,761","1,723","1,765","1,720","1,770","1,700","1,341","1,055",700,477,411,252,147,"20,435","19,635","17,972","17,391","16,012","15,723","14,162","13,132","11,802","11,755","10,375","8,551","6,773","4,536","3,626","2,702","1,898","1,437","61,312","158,962","220,468","117,703","71,629"
WAUSAU-RHINELDR (705),"28,035","$1,159,136 ","114,478","19,112","9,829","8,118","20,657","9,198","2,651","1,410","1,559","1,303","25,272","25,822","27,159","29,455","27,812","25,786","24,876","24,134","26,858","32,014","35,828","34,967","31,049","24,888","19,546","14,898","11,301","12,772","8,671","17,825","27,856","38,997","37,967","26,970","22,989","7,040",54.8,54.2,"21,852","23,004","24,734","26,828","23,959","23,658","23,155","22,907","25,865","31,142","35,053","34,303","30,414","24,281","19,120","14,580","11,020","12,078",359,318,276,331,363,313,382,285,240,144,127,58,53,31,15,13,1,4,"1,332","1,189","1,268","1,550","1,271","1,043",764,593,580,541,403,330,206,170,96,93,55,49,"1,479","1,195","1,000",926,898,955,754,651,522,434,299,218,160,107,79,39,30,21,"34,236","123,767","97,295","42,278","21,341"
TYLER-LONGVIEW (709),"39,177","$2,215,203 ","186,789","22,816","11,741","9,281","24,275","12,037","3,971","2,216","2,847","3,394","50,182","50,990","50,841","52,275","54,376","49,677","45,886","43,181","43,735","46,250","49,013","47,833","44,058","36,672","29,011","22,352","16,012","16,305","10,702","25,414","40,273","52,719","51,250","44,022","41,626","13,361",52.9,52.5,"36,673","37,805","38,112","39,028","39,657","38,938","36,435","34,609","35,359","37,747","40,362","40,010","37,805","32,017","25,622","19,707","13,957","13,671","8,874","9,512","9,721","10,890","10,477","9,356","8,425","7,722","7,771","7,951","8,169","7,362","5,777","4,103","2,967","2,289","1,655","1,831",548,629,601,558,594,690,684,671,553,514,441,381,282,172,104,67,38,29,"15,700","14,415","12,573","12,046","11,405","10,752","10,045","9,005","7,711","6,349","4,958","3,381","2,154","1,358",909,528,345,248,"91,023","151,259","153,404","63,858","30,441"
HATIESBRG-LAURL (710),"14,084","$765,304 ","83,936","9,165","4,288","3,380","7,931","3,337",928,496,616,619,"21,607","20,673","20,299","21,178","23,739","22,077","19,803","18,108","17,779","18,356","19,441","18,302","16,586","13,315","10,342","7,857","5,604","5,338","3,568","9,152","14,970","20,798","21,385","19,243","19,445","6,135",50.9,50.9,"12,157","12,097","12,155","12,646","14,298","13,833","12,574","11,948","12,234","12,861","13,837","13,200","12,523","10,376","8,147","6,213","4,440","3,874","8,369","7,974","7,759","8,167","8,429","7,875","6,918","5,885","5,352","5,362","5,496","4,972","3,954","2,823","2,001","1,410",963,966,139,171,112,124,203,230,220,203,164,133,108,93,63,33,26,30,13,5,"1,283",854,538,605,"1,080","1,067",933,670,496,362,282,171,140,110,73,38,36,24,"37,135","57,934","57,960","24,752","15,127"
MERIDIAN (711),"8,485","$429,490 ","52,804","5,658","2,580","2,087","4,772","2,103",532,296,341,356,"12,290","12,599","12,665","13,286","12,844","11,494","10,951","10,802","11,059","11,682","12,338","12,281","11,370","8,948","6,907","5,287","4,048","4,100","2,774","6,378","10,057","14,124","13,495","11,466","9,950","3,285",53.2,52.8,"5,609","5,736","5,824","6,168","5,912","5,680","5,565","5,781","6,136","6,716","7,110","7,251","7,268","6,070","4,736","3,734","2,896","2,805","5,760","5,857","5,974","6,439","5,815","5,112","4,800","4,542","4,505","4,595","4,906","4,747","3,812","2,626","1,995","1,423","1,054","1,071",58,54,67,57,60,94,71,78,83,66,52,55,40,32,19,19,10,3,358,293,220,292,313,237,199,187,169,127,129,75,63,53,43,37,20,11,"25,341","40,036","38,388","11,157","6,345"
BATON ROUGE (716),"44,076","$1,984,652 ","218,341","31,997","16,359","13,171","33,401","15,887","5,072","2,793","3,558","3,560","63,332","60,918","61,173","64,848","72,778","70,467","64,286","57,537","57,124","60,046","62,578","59,256","51,828","39,231","27,861","19,500","13,613","13,730","9,162","22,158","41,672","64,640","67,006","59,167","61,409","18,925",49.9,49.9,"33,487","32,860","33,656","35,336","40,960","41,853","38,221","34,980","36,012","38,599","40,678","38,881","35,022","27,047","19,111","13,722","9,610","9,449","25,760","25,776","25,862","27,816","28,365","26,024","23,657","20,601","19,828","20,418","21,005","19,433","15,706","10,810","7,199","4,786","3,141","3,040","1,252","1,119",959,"1,000","1,551","1,797","1,719","1,632","1,225",977,862,809,688,456,250,141,93,62,"3,439","2,682","2,290","2,605","3,896","3,812","3,255","2,650","2,080","1,833","1,361","1,044",780,485,405,239,184,165,"98,151","195,095","157,236","97,808","48,767"
QUINCY-HBL-KEOK (717),"14,566","$549,904 ","72,028","9,902","4,893","3,749","9,299","3,863","1,083",561,612,534,"15,596","15,612","15,971","17,354","19,597","17,175","15,171","14,290","14,888","16,914","18,680","18,568","17,150","13,977","10,850","8,426","6,579","8,015","5,257","10,157","15,686","21,199","19,894","15,222","14,257","4,852",54.5,53.8,"13,963","14,351","14,908","16,071","17,323","15,741","13,967","13,372","14,092","16,168","18,037","17,972","16,677","13,557","10,477","8,163","6,378","7,578",714,587,558,832,"1,276",987,848,705,653,618,545,438,284,197,125,109,79,85,144,132,104,111,201,189,186,149,134,128,79,97,81,52,35,24,9,10,443,487,388,570,758,425,324,283,244,205,182,140,98,74,47,45,34,37,"22,119","71,768","52,399","22,258","12,139"
JACKSON  MS (718),"46,614","$1,997,487 ","239,329","28,001","13,587","10,729","26,646","12,358","3,980","2,289","2,865","3,405","64,073","64,247","64,764","65,995","63,011","61,690","60,903","57,576","56,838","59,401","62,834","60,674","53,590","40,429","29,963","22,020","15,976","16,248","10,683","25,369","43,670","66,700","67,346","59,238","54,401","15,782",51.3,51.2,"26,102","26,913","27,140","26,597","24,964","26,966","27,712","28,027","28,997","31,515","33,976","34,008","32,068","25,363","19,385","14,629","10,692","10,249","35,867","35,615","36,298","38,375","35,783","33,025","31,789","28,432","26,939","27,254","28,268","26,040","20,757","14,245","9,810","6,823","4,703","4,819",477,567,574,499,532,702,696,696,684,557,521,430,327,201,141,68,42,30,"2,566","1,893","1,416","1,528","2,611","3,030","2,626","2,097","1,600","1,243",987,649,431,270,154,113,71,73,"108,366","171,431","176,200","91,243","50,902"
LIN&HST-KRNY (722),"45,504","$1,945,413 ","185,779","26,653","13,471","11,045","28,660","14,027","4,412","2,354","2,944","3,115","47,697","47,981","46,480","50,608","55,144","50,416","45,766","41,837","40,803","44,229","49,026","49,103","43,867","33,255","25,088","20,082","16,191","19,854","13,698","25,364","37,917","56,890","54,078","45,359","45,095","14,059",52.7,52.4,"41,408","42,064","41,468","46,111","49,143","47,206","42,856","39,181","38,744","42,559","47,591","47,877","42,620","32,079","24,367","19,688","15,893","19,265","1,600","1,436","1,298","1,509","1,568","1,433","1,235","1,057",912,907,768,548,319,185,114,84,61,55,"1,040","1,194",905,"1,147","1,548","1,454","1,159","1,215",984,711,607,562,537,347,212,121,74,52,"7,645","6,817","5,788","5,523","5,278","5,062","4,487","4,071","3,500","2,748","2,160","1,466",937,572,379,248,149,130,"44,207","146,296","164,040","85,038","39,936"
FARGO-VALLY CTY (724),"40,474","$1,318,787 ","164,202","23,387","11,996","9,879","25,531","12,223","3,730","2,049","2,361","2,135","39,679","37,847","37,035","42,203","51,179","46,120","39,569","34,448","33,841","37,573","42,684","42,953","37,452","28,416","21,474","17,024","13,663","16,834","11,822","21,721","32,728","49,858","47,299","38,497","41,964","13,604",52.3,52,"33,156","32,542","33,001","38,319","44,472","42,689","36,330","31,865","32,190","36,401","41,620","41,917","36,076","27,062","20,658","16,473","13,297","16,054","1,142",890,802,892,"1,178",934,685,491,391,291,262,193,108,82,44,29,9,14,482,488,398,578,"1,413","1,003",751,706,543,406,299,249,235,135,75,49,38,20,"2,381","2,000","1,727","1,758","1,719","1,342","1,134",919,834,722,609,444,306,182,95,78,51,33,"39,548","119,107","143,639","78,636","31,121"
SIOUX FLS(MCHL) (725),"44,340","$1,434,933 ","170,498","26,115","12,889","10,592","26,938","12,738","3,971","2,188","2,639","2,329","46,899","47,099","45,242","46,546","46,874","46,160","44,020","39,712","38,897","42,960","47,124","46,034","39,974","30,410","22,898","18,545","15,166","19,285","13,288","23,455","34,327","51,977","51,462","42,448","41,810","12,130",52.6,52.5,"38,251","38,312","37,891","39,776","39,119","41,143","38,616","35,160","35,789","40,606","44,950","43,800","37,725","28,426","21,722","17,840","14,677","18,337","1,394","1,121",941,929,"1,007","1,179",970,811,687,541,412,255,160,85,49,28,25,18,679,708,671,705,891,821,765,715,549,498,414,273,214,129,95,55,30,20,"3,541","2,748","2,222","2,132","2,277","2,378","2,103","1,587","1,408","1,102",738,449,272,173,109,89,36,57,"48,497","148,370","139,421","81,230","33,667"
JONESBORO (734),"11,760","$639,063 ","75,131","6,405","3,177","2,286","4,955","1,957",478,307,285,302,"15,352","15,585","15,765","16,028","16,808","15,605","14,943","14,413","14,532","15,432","15,677","14,915","14,333","12,411","9,795","7,453","5,376","5,253","3,538","8,750","14,070","17,472","17,625","15,484","14,036","4,308",52.8,52.6,"12,903","13,374","13,840","14,233","14,133","13,411","13,224","13,166","13,617","14,733","15,024","14,352","13,905","12,075","9,427","7,132","5,083","4,663","1,630","1,655","1,437","1,472","1,683","1,628","1,396",975,726,600,550,421,266,163,100,80,61,65,108,111,80,107,195,206,152,118,120,82,65,72,55,36,22,13,9,2,"1,065",867,674,658,682,721,614,467,401,314,221,172,93,86,71,36,17,25,"30,114","61,728","41,743","16,965","9,588"
BOWLING GREEN (736),"10,197","$413,060 ","62,370","6,299","3,074","2,268","5,545","2,489",699,415,522,494,"13,950","13,510","13,608","15,399","17,987","15,526","13,663","13,121","13,120","14,070","14,518","13,704","12,362","9,904","7,531","5,467","3,787","3,883","2,657","6,387","11,134","15,683","16,327","14,180","13,402","4,405",51.2,51.1,"11,564","11,607","11,960","13,308","15,260","13,848","12,269","11,936","12,028","12,955","13,434","12,841","11,686","9,341","7,031","5,100","3,500","3,453","1,019",935,935,"1,473","1,521","1,208","1,006",818,783,931,921,737,563,418,337,200,141,136,337,373,306,306,387,389,286,331,293,182,148,122,95,74,53,22,13,9,"1,086",905,642,637,786,827,706,600,450,333,226,124,99,68,57,29,18,20,"28,653","49,924","33,949","17,216","10,914"
MANKATO (737),"8,705","$479,210 ","33,343","5,166","2,529","2,185","5,795","2,823",854,540,581,578,"8,632","7,859","7,654","9,678","13,223","10,961","8,523","7,115","7,027","7,751","8,849","8,964","7,845","5,950","4,506","3,666","3,116","4,183","2,888","4,739","6,772","10,230","9,584","7,720","9,075","3,386",52.3,52,"7,429","7,180","7,080","8,959","12,061","10,435","8,113","6,796","6,785","7,581","8,697","8,844","7,750","5,861","4,450","3,642","3,086","4,140",355,277,200,286,380,248,192,150,118,79,61,37,25,18,12,4,3,4,133,139,138,207,403,262,171,135,115,90,91,83,59,31,19,14,17,8,761,716,695,653,607,479,486,387,355,244,240,161,114,47,42,30,12,13,"8,073","27,930","29,582","16,056","6,815"
LOS ANGELES (803),"847,412","$24,550,441 ","3,364,098","537,513","289,849","219,995","642,176","340,581","132,711","73,525","109,462","141,640","1,232,083","1,203,288","1,239,711","1,320,497","1,361,638","1,339,576","1,279,204","1,233,120","1,260,681","1,265,688","1,227,543","1,092,521","911,825","685,033","495,960","365,434","270,973","302,165","178,460","376,508","645,112","1,020,611","1,196,921","1,135,414","1,011,326","287,198",49.1,49.7,"841,321","869,874","925,158","988,919","965,716","978,516","967,469","939,963","965,528","968,690","936,521","828,116","684,409","506,103","368,841","279,648","212,112","235,605","86,638","89,331","101,948","118,297","108,796","97,369","93,123","91,814","101,231","105,487","99,862","82,452","63,481","45,173","33,043","23,376","15,601","15,048","114,322","119,903","128,921","146,478","163,245","183,526","185,886","190,661","186,274","183,626","180,284","161,540","131,439","93,990","67,380","48,268","33,860","33,306","734,001","730,450","760,346","789,941","707,589","669,198","639,074","630,205","593,229","512,774","417,983","311,634","223,032","152,895","110,217","80,985","56,686","44,551","2,538,658","2,513,904","3,330,427","2,178,964","1,167,770"
PALM SPRINGS (804),"19,960","$730,955 ","87,744","16,504","8,330","6,338","17,257","10,484","4,606","2,675","4,340","7,614","27,407","29,013","29,579","29,413","27,482","25,971","25,171","24,009","24,982","26,829","27,588","26,778","27,413","26,546","23,597","19,028","14,033","13,863","8,777","21,125","29,576","29,735","27,638","22,851","20,057","6,133",57.1,55.9,"22,441","24,276","25,671","25,778","23,171","23,156","22,773","21,901","22,847","24,777","25,441","24,680","25,390","25,035","22,542","18,415","13,641","13,405",972,998,"1,113","1,252",938,917,828,788,798,835,816,684,616,483,400,259,168,138,689,788,861,898,827,944,"1,103","1,062","1,099","1,056","1,041",982,811,626,431,294,175,153,"22,000","23,027","22,837","22,080","18,970","18,400","17,234","16,104","15,098","13,704","10,502","7,759","5,567","4,006","3,021","2,087","1,331","1,033","66,365","69,860","95,357","46,357","27,869"
SAN FRAN-OAK-SJ (807),"395,490","$10,851,618 ","1,325,985","251,189","141,690","111,998","355,971","205,866","82,797","47,839","71,102","93,626","463,073","447,580","435,476","435,485","452,129","506,030","531,221","525,181","533,748","537,890","529,906","490,841","433,836","328,196","232,321","168,133","125,871","150,707","93,351","182,130","322,151","497,478","543,304","515,754","432,341","101,554",50.4,50.9,"241,862","243,022","244,378","253,529","257,425","311,389","328,045","322,915","342,182","357,065","361,382","338,809","302,952","226,605","157,386","115,816","89,646","109,954","28,899","30,231","33,183","38,775","35,200","34,620","35,270","34,454","36,854","38,415","37,638","32,963","26,692","18,104","12,396","8,652","6,131","6,851","102,612","101,997","97,899","97,654","100,811","130,153","150,315","158,940","149,088","138,972","127,951","113,858","94,464","65,132","48,610","35,982","25,480","25,063","166,522","156,051","145,299","148,175","149,065","161,234","154,771","141,508","124,525","105,519","84,786","62,556","44,707","29,972","22,655","17,312","12,318","10,208","667,005","917,695","1,355,776","1,290,787","862,618"
