Area Name,2013 Q4 Total businesses,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Male Age 15-19 ,2013 Q4 Male Age 20-24,2013 Q4 Male Age 25-29 ,2013 Q4 Male Age 30-34,2013 Q4 Male Age 35-39 ,2013 Q4 Male Age 40-44 ,2013 Q4 Male Age 45-49,2013 Q4 Male Age 50-54,2013 Q4 Male Age 55-59 ,2013 Q4 Male Age 60-64,2013 Q4 Male Age 65-69 ,2013 Q4 Female Age 20-24,2013 Q4 Female Age 15-19 ,2013 Q4 Female Age 25-29 ,2013 Q4 Female Age 30-34,2013 Q4 Female Age 35-39 ,2013 Q4 Female Age 40-44,2013 Q4 Female Age 45-49 ,2013 Q4 Female Age 50-54,2013 Q4 Female Age 55-59,2013 Q4 Female Age 60-64 ,2013 Q4 Female Age 65-69,2013 Q4 Average HH Income Age15-24,2013 Q4 Average HH Income Age 25-34,2013 Q4 Average HH Income Age 35-44,2013 Q4 Average HH Income Age 45-54,2013 Q4 Average HH Income Age 55-64,2013 Q4 Average HH Income Age 65-74,2013 Q4 HHs Age 15-24 Income 20k-25k,2013 Q4 HHs Age 15-24 Income 15k-20k,2013 Q4 HHs Age 15-24 Income 25k-30k,2013 Q4 HHs Age 15-24 Income 30k-35k,2013 Q4 HHs Age 15-24 Income 35k-40k,2013 Q4 HHs Age 15-24 Income 45k-50k ,2013 Q4 HHs Age 15-24 Income 40k-45k,2013 Q4 HHs Age 15-24 Income 50k-60k,2013 Q4 HHs Age 15-24 Income 60k-75k,2013 Q4 HHs Age 15-24 Income 75k-100k,2013 Q4 HHs Age 15-24 Income 100k-125k,2013 Q4 HHs Age 15-24 Income 125k-150k,2013 Q4 HHs Age 15-24 Income 10k-15k,2013 Q4 HHs Age 15-24 Income 150k-200k,2013 Q4 HHs Age 15-24 Income Above 200k,2013 Q4 Median White Pop Age,2013 Q4 Median African American Pop Age,2013 Q4 Median Asian Pop Age,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 Vacant HUs,2013 Q4 Seasonal HUs,2013 Q4 Unemployed,2013 Q4 Male Unemployed,2013 Q4 Female Unemployed,2013 Q4 Pop,2013 Q4 HHs,2013 Q4 Group Quarters,2013 Q4 HUs,HH Growth 2013 Q4 To 2018 Q4,2013 Q4 Median HH Age,2013 Q4 Median HH Income,2013 Q4 Median HU Value,Pop Growth 2013 Q4 To 2018 Q4,2013 Q4 Pop Below Age 19,2013 Q4 Pop Age 20-64,2013 Q4 Pop Age 65+,2013 Q4 White ,2013 Q4 Black ,2013 Q4 Hispanic ,2013 Q4 Native American ,2013 Q4 Asian ,2013 Q4 Pacific Islander,2013 Q4 Two Or More Races,2013 Q4 Hispanic HHs,2013 Q4 White Households,2013 Q4 African American Households,2013 Q4 Asian Households,2018 Q4 Pop,2018 Q4 HHs,2018 Q4 Group Quarters,2018 Q4 HUs,2018 Q4 Median HH Age,2018 Q4 Median HH Income,2018 Q4 Median HU Value,2018 Q4 Pop Below Age 19,2018 Q4 Pop Age 20-64,2018 Q4 Pop Age 65+,2018 Q4 White ,2018 Q4 Black ,2018 Q4 Hispanic ,2018 Q4 Native American ,2018 Q4 Asian ,2018 Q4 Pacific Islander ,2018 Q4 Two Or More Races,2018 Q4 Hispanic HHs,2018 Q4 White Households,2018 Q4 African American Households,2018 Q4 Asian Households,2010 Census Pop,2010 Census HHs ,2010 Census Group Quarters,2010 Census HUs,HH Growth 2010 Census To 2013 Q4,2010 Census Median HH Age,2010 Census Median HH Income,2010 Census Median HU Value,Pop Growth 2010 Census To 2013 Q4,2010 Census Pop Age Below 19,2010 Census Pop Age 20-64,2010 Census Pop Age 65+,2010 Census White ,2010 Census Black ,2010 Census Hispanic ,2010 Census Native American ,2010 Census Asian ,2010 Census Pacific Islander ,2010 Census Two Or More Races,2010 Census Hispanic HHs,2010 Census White Households,2010 Census African American Households,2010 Census Asian Households,2000 Census Pop,2000 Census HHs ,2000 Census Group Quarters,2013 Q4 HUs,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 HU Value Less Than 100k,2013 Q4 HU Value 100k-200k,2013 Q4 HU Value 200k-300k,2013 Q4 HU Value 300k-400k,2013 Q4 HU Value 400k-500k ,2013 Q4 HU Value 500k-1mil,2013 Q4 HU Value Above 1mil,2018 Q4 HUs,2018 Q4 Owner Occupied HUs,2018 Q4 Renter Occupied HUs,2018 Q4 HU Value Less Than 100k,2018 Q4 HU Value 100k-200k,2018 Q4 HU Value 200k-300k,2018 Q4 HU Value 300k-400k,2018 Q4 HU Value 400k-500k ,2018 Q4 HU Value 500k-1mil,2018 Q4 HU Value Above 1mil,2010 Census HUs,2010 Census Owner Occupied HUs,2010 Census Renter Occupied HUs,2010 Census HU Value Less Than 100k,2010 Census HU Value 100k-200k,2010 Census HU Value 200k-300k,2010 Census HU Value 300k-400k,2010 Census HU Value 400k-500k ,2010 Census HU Value 500k-1mil,2010 Census HU Value Above 1mil
SIOUX FLS(MCHL) (725),"44,340","170,498","26,115","12,889","26,938","10,592","23,878","24,044","24,064","22,919","20,610","20,066","21,913","23,824","23,248","20,178","15,002","22,830","22,668","22,096","21,101","19,102","18,831","21,047","23,300","22,786","19,796","15,408","$58,029 ","$59,608 ","$63,461 ","$64,308 ","$64,608 ","$63,424 ",956,671,635,774,602,528,537,"1,050","1,357","1,539",805,325,854,290,229,39.7,24.6,27.8,"187,765","83,132","30,466","8,236","15,302","8,729","6,573","683,845","270,897","30,059","301,363",4%,52.6,"$49,769 ","$129,787 ",4%,185786,391755,106304,"612,140","10,612","23,421","40,937","8,232",473,"11,451","5,648","251,531","3,254","2,456","713,711","282,818","30,059","313,044",53.5,"$51,027 ","$131,545 ",188512,401716,123483,"638,312","11,237","24,326","43,008","8,651",500,"12,003","5,867","262,513","3,381","2,559","663,761","262,885","30,064","295,557",3%,51,"$46,311 ","$123,850 ",3%,183822,380769,99170,"596,310","9,751","21,413","39,337","7,533",384,"10,446","5,072","245,238","2,764","2,115","625,507","242,901","22,735","301,363","187,765","83,132","71,694","74,490","23,384","9,936","3,979","2,840","1,442","313,044","195,614","87,204","73,109","78,294","24,800","10,602","4,263","3,031","1,515","295,557","182,683","80,202","74,450","70,823","22,000","8,025","3,454","2,880","1,051"
JONESBORO (734),"11,760","75,131","6,405","3,177","4,955","2,286","8,289","8,539","7,817","7,456","7,193","7,224","7,675","7,683","7,208","6,830","5,830","8,269","7,739","7,788","7,487","7,220","7,308","7,757","7,994","7,707","7,503","6,581","$45,994 ","$46,690 ","$49,295 ","$49,539 ","$49,302 ","$48,587 ",324,400,309,243,199,191,195,377,320,387,129,88,448,86,51,40.3,23.7,29.3,"64,696","30,587","13,504","3,415","8,853","4,570","4,283","239,676","95,283","6,369","108,787",3%,52.8,"$34,399 ","$88,740 ",3%,62730,136658,40288,"218,295","14,908","7,184","1,448","1,553",78,"3,394","1,774","88,154","4,953",544,"246,408","97,908","6,369","111,495",53.7,"$34,866 ","$89,878 ",63123,137820,45465,"223,792","15,909","7,541","1,483","1,642",82,"3,500","1,863","90,406","5,277",571,"235,060","93,526","6,271","106,602",2%,51.9,"$33,661 ","$89,775 ",2%,63532,134004,37524,"215,549","13,608","6,476","1,280","1,418",54,"3,151","1,594","87,205","4,378",477,"216,934","86,908","5,070","108,787","64,696","30,587","36,452","19,459","4,951","2,259",612,839,124,"111,495","66,212","31,696","36,834","20,225","5,146","2,364",634,879,130,"106,602","63,646","29,880","35,447","19,473","5,658","1,918",739,289,122
BOWLING GREEN (736),"10,197","62,370","6,299","3,074","5,545","2,268","7,805","9,008","7,797","6,841","6,586","6,470","6,952","7,070","6,645","5,965","4,771","8,979","7,594","7,729","6,822","6,535","6,650","7,118","7,448","7,059","6,397","5,133","$46,365 ","$47,023 ","$52,047 ","$53,202 ","$53,280 ","$53,072 ",336,306,235,284,263,177,179,346,342,380,191,98,482,60,61,37.8,29.8,27,"55,505","28,670","9,948","2,045","7,796","4,410","3,386","215,110","84,175","7,786","94,123",4%,51.2,"$37,258 ","$119,984 ",4%,56467,128071,30572,"193,121","14,082","7,613",629,"3,726",248,"3,304","1,886","76,643","5,322","1,090","223,756","87,688","7,786","96,783",52.2,"$37,346 ","$120,875 ",57557,129714,36485,"200,628","14,817","7,996",655,"3,941",261,"3,454","1,976","79,802","5,586","1,153","209,114","81,739","7,786","91,995",3%,49.8,"$37,117 ","$119,872 ",3%,56637,125152,27325,"188,277","13,360","7,082",613,"3,548",207,"3,109","1,749","74,709","5,018","1,005","182,691","71,203","6,776","94,123","55,505","28,670","23,467","21,444","6,328","2,438",453,"1,208",167,"96,783","57,633","30,055","24,147","22,369","6,622","2,575",476,"1,276",168,"91,995","54,094","27,645","22,670","22,026","5,606","1,757",802,763,470
MANKATO (737),"8,705","33,343","5,166","2,529","5,795","2,185","4,781","6,869","5,791","4,447","3,648","3,582","3,901","4,391","4,488","3,957","2,950","6,354","4,897","5,170","4,076","3,467","3,445","3,850","4,458","4,476","3,888","3,000","$54,347 ","$56,851 ","$62,558 ","$63,798 ","$64,049 ","$63,506 ",221,213,215,182,203,137,174,277,361,370,230,95,242,63,48,37.3,21.4,25.7,"38,690","15,704","4,510",545,"3,946","2,260","1,686","135,502","54,394","6,232","58,904",0%,52.3,"$49,647 ","$142,089 ",0%,33823,80258,21421,"128,889","2,449","6,042",487,"2,115",49,"1,513","1,478","52,561",654,642,"136,088","54,596","6,232","59,335",52.6,"$50,325 ","$143,065 ",34064,78615,23409,"129,347","2,511","6,032",489,"2,156",50,"1,535","1,474","52,741",670,652,"135,245","54,332","6,186","58,583",0%,50.8,"$47,181 ","$142,245 ",0%,34405,80328,20512,"129,257","2,297","5,923",424,"1,837",33,"1,397","1,435","52,795",586,537,"128,410","50,129","5,836","58,904","38,690","15,704","12,165","17,059","6,165","1,957",479,631,234,"59,335","38,753","15,843","12,002","17,124","6,265","1,994",488,646,234,"58,583","38,667","15,665","12,003","17,352","6,190","1,909",469,596,148
MISSOULA (762),"21,337","77,423","10,859","5,541","11,916","4,410","9,715","10,338","9,903","9,363","8,356","8,219","9,010","10,057","10,744","10,522","8,360","10,100","8,865","9,616","8,923","8,038","8,148","9,131","10,733","11,617","10,672","8,278","$54,718 ","$52,803 ","$55,590 ","$57,502 ","$58,014 ","$57,959 ",410,368,422,330,293,267,283,423,506,515,311,163,394,134,90,41.6,25.6,31.9,"81,966","40,247","24,249","12,927","11,210","7,208","4,002","292,524","122,213","5,967","146,462",2%,53.8,"$42,721 ","$242,436 ",2%,70249,173490,48785,"268,928","1,193","8,075","11,734","2,379",229,"8,061","2,245","114,473",509,898,"299,009","124,992","5,967","147,980",55.1,"$42,993 ","$242,599 ",71049,168782,59178,"274,905","1,222","8,255","11,973","2,440",235,"8,234","2,295","117,071",506,907,"287,900","120,244","5,941","145,186",2%,52.1,"$42,039 ","$234,017 ",2%,71141,174502,42257,"265,597",859,"7,481","11,375","2,176",202,"7,691","2,075","113,191",272,744,"249,791","99,565","5,642","146,462","81,966","40,247","11,472","19,062","24,623","12,239","4,854","7,369","2,347","147,980","83,680","41,312","11,640","19,468","25,193","12,499","4,958","7,514","2,408","145,186","80,925","39,319","11,765","20,612","23,769","11,618","4,899","6,271","1,991"
RAPID CITY (764),"15,723","64,262","9,581","5,027","10,918","4,512","8,999","9,064","8,761","8,267","7,298","7,110","7,962","9,125","9,557","8,716","6,497","8,208","8,202","8,190","7,895","7,220","7,052","7,868","9,325","9,666","8,529","6,548","$56,181 ","$56,550 ","$60,229 ","$62,205 ","$63,369 ","$63,576 ",265,313,272,308,254,170,228,381,499,542,266,108,298,82,84,42.2,27,31.4,"71,100","33,590","12,845","5,080","6,664","3,783","2,881","260,087","104,690","6,653","117,535",5%,53.7,"$47,625 ","$160,746 ",5%,69119,149813,41155,"216,326","2,440","8,825","32,275","1,981",183,"6,882","2,368","93,023",975,695,"272,855","109,823","6,653","120,128",55,"$48,727 ","$160,689 ",70250,152133,50472,"226,480","2,579","9,286","34,261","2,089",194,"7,252","2,491","97,425","1,001",713,"251,185","101,089","6,711","115,499",4%,52,"$44,437 ","$153,702 ",4%,68638,146367,36180,"209,510","1,747","8,040","31,546","1,738",155,"6,489","2,169","90,129",645,584,"229,304","87,819","6,376","117,535","71,100","33,590","19,254","26,826","13,642","6,144","1,896","2,097","1,241","120,128","74,566","35,257","20,132","28,260","14,317","6,395","1,977","2,192","1,293","115,499","68,567","32,522","19,692","27,171","11,669","4,980","1,958","2,286",811
SALT LAKE CITY (770),"138,156","581,679","100,562","50,115","106,285","42,105","123,098","124,753","123,074","122,036","107,697","93,373","85,152","83,529","77,847","65,996","49,217","120,398","119,415","117,945","116,661","103,187","89,435","83,248","83,826","79,085","68,198","52,547","$68,082 ","$66,075 ","$71,474 ","$74,645 ","$74,929 ","$73,452 ","3,229","2,736","3,012","3,053","2,877","2,460","2,956","5,105","7,030","7,966","4,914","2,493","2,931","2,113","1,754",31.1,24,31.8,"698,490","290,685","93,254","44,082","81,484","47,491","33,993","3,087,033","989,175","50,142","1,082,429",7%,46.8,"$57,502 ","$211,885 ",7%,1033801,1745440,307792,"2,840,155","38,645","410,363","48,371","64,468","27,901","67,493","97,153","925,312","11,805","19,687","3,296,246","1,056,339","50,142","1,159,428",47.8,"$58,034 ","$212,925 ",1041295,1870823,384128,"3,032,378","41,258","438,936","51,524","68,974","29,931","72,181","103,916","988,851","12,120","20,716","2,941,055","942,492","49,705","1,057,361",5%,46.7,"$55,332 ","$216,728 ",5%,1017115,1656326,267614,"2,714,684","35,339","382,279","45,166","58,880","25,949","61,037","90,287","886,047","9,720","17,494","2,387,574","756,579","34,536","1,082,429","698,490","290,685","67,000","258,902","196,413","96,416","33,646","36,994","9,119","1,159,428","745,678","310,661","70,572","275,058","210,514","103,587","36,162","39,940","9,845","1,057,361","665,213","277,279","59,951","237,866","207,970","86,804","29,403","36,611","6,608"
YUMA-EL CENTRO (771),"12,066","83,417","10,291","4,887","8,792","3,615","15,754","16,425","15,182","13,589","12,042","11,728","11,503","11,054","9,801","8,398","7,043","13,782","14,665","12,268","11,172","10,866","11,159","11,379","11,171","10,445","9,293","8,176","$53,320 ","$54,752 ","$57,555 ","$57,288 ","$56,685 ","$54,982 ",478,457,473,482,336,208,345,526,593,502,404,166,512,146,139,34.5,32.9,37,"74,781","41,919","28,898","15,830","43,828","22,304","21,524","379,825","116,700","17,409","145,598",3%,51.2,"$39,185 ","$132,773 ",3%,115749,211257,52819,"343,681","12,104","264,917","9,044","7,179",812,"7,005","68,027","106,158","2,963","2,145","391,248","120,354","17,409","147,633",51.7,"$38,406 ","$132,779 ",111577,220747,58924,"353,986","12,483","273,122","9,321","7,407",836,"7,215","70,196","110,063","3,082","2,280","370,279","113,893","16,605","143,917",2%,51.1,"$42,527 ","$145,383 ",3%,118582,202899,48798,"336,345","11,287","257,183","8,532","6,817",739,"6,559","66,125","104,213","2,639","1,943","302,382","93,231","16,293","145,598","74,781","41,919","26,647","32,781","9,932","3,500",597,917,407,"147,633","77,324","43,030","27,514","34,009","10,219","3,606",623,938,415,"143,917","72,268","41,625","20,369","34,737","12,309","2,921",796,791,345
GR.JNCTN-MNTROS (773),"12,024","45,015","6,569","3,495","7,786","2,852","6,390","6,196","6,330","6,101","5,579","5,369","5,613","6,407","6,531","6,025","4,792","5,977","5,999","5,880","5,726","5,273","5,192","5,836","6,706","6,851","6,348","5,083","$57,823 ","$57,111 ","$60,815 ","$63,368 ","$64,736 ","$65,583 ",179,177,147,172,222,156,177,287,286,375,199,102,209,89,41,40.6,24.1,35.3,"53,535","21,158","6,985","1,268","8,651","5,204","3,447","188,874","74,693","4,771","81,678",1%,53.8,"$48,396 ","$207,775 ",1%,48947,107940,31987,"178,556","1,510","28,377","3,023","1,612",232,"3,941","7,913","71,516",508,533,"190,093","75,191","4,771","82,588",54.9,"$48,985 ","$207,765 ",48009,105558,36526,"179,703","1,522","28,474","3,038","1,626",234,"3,970","7,935","71,998",490,510,"187,999","74,579","4,173","80,894",0%,52.5,"$45,849 ","$218,749 ",0%,50004,108774,29221,"178,391","1,301","27,679","2,904","1,504",208,"3,691","7,735","71,702",392,464,"150,367","59,143","3,473","81,678","53,535","21,158","6,475","19,218","13,819","7,562","2,796","3,231",434,"82,588","53,902","21,289","6,547","19,324","13,908","7,628","2,799","3,258",438,"80,894","53,431","21,148","6,288","17,533","15,438","6,895","3,000","3,919",358
ALBUQ-SANTA FE (790),"104,290","461,277","72,364","35,464","70,897","28,229","67,231","66,886","65,913","62,481","57,804","57,304","61,110","64,978","63,028","58,121","45,327","63,172","64,037","62,385","60,204","56,875","57,281","62,100","67,986","68,364","63,097","49,749","$56,535 ","$56,344 ","$59,630 ","$62,414 ","$64,242 ","$64,448 ","2,292","2,216","2,095","1,845","1,727","1,367","1,671","2,463","3,015","3,248","2,014","1,031","2,284",947,754,40.8,32,36,"512,672","230,111","105,005","37,876","66,030","38,050","27,980","1,925,716","742,783","37,825","847,788",2%,52.4,"$43,815 ","$170,868 ",2%,521714,1119089,284913,"1,539,505","44,268","811,844","263,196","29,667","2,964","46,116","270,080","622,822","17,469","10,581","1,968,788","759,350","37,825","854,608",53.7,"$43,937 ","$171,194 ",514565,1111982,342241,"1,572,797","45,624","828,884","269,570","30,543","3,040","47,214","275,508","634,780","18,283","10,701","1,893,256","730,354","37,675","840,724",2%,51.5,"$43,325 ","$167,727 ",2%,528353,1114268,250635,"1,517,965","40,891","790,603","260,408","28,115","2,713","43,164","263,091","614,832","15,615","9,723","1,684,764","628,760","26,131","847,788","512,672","230,111","136,070","169,703","99,138","48,859","21,368","30,132","7,402","854,608","523,054","236,296","138,288","173,102","101,025","49,871","21,974","31,205","7,589","840,724","506,298","224,056","141,785","164,430","104,083","41,991","19,158","28,175","6,676"
EL PASO (765),"34,065","244,740","30,896","14,336","25,925","10,907","44,273","45,163","41,105","35,050","32,227","30,927","30,599","30,190","27,285","23,197","17,596","42,306","42,175","39,205","35,230","34,536","33,935","34,034","34,153","31,337","26,564","20,599","$51,859 ","$52,345 ","$56,198 ","$57,200 ","$57,158 ","$56,729 ","1,656","1,583","1,130","1,359","1,146","1,032",873,"1,405","1,934","2,005","1,044",560,"1,793",497,348,32.6,28.8,35.1,"222,147","128,156","18,317","1,929","41,033","21,805","19,228","1,064,316","350,303","20,523","368,620",7%,48.9,"$39,524 ","$126,804 ",6%,334775,607043,122498,"987,066","35,315","832,293","13,202","12,963","1,686","14,084","249,606","322,757","12,383","4,802","1,133,217","373,179","20,523","386,023",49.7,"$40,839 ","$127,434 ",335760,648123,149334,"1,050,959","37,680","886,834","14,003","13,804","1,796","14,975","266,235","344,754","13,703","5,002","1,015,754","334,171","20,471","354,463",5%,48.8,"$36,015 ","$119,012 ",5%,334216,572608,108930,"946,321","31,470","800,243","11,915","11,722","1,554","12,772","240,348","309,758","10,898","4,170","860,170","271,666","13,998","368,620","222,147","128,156","85,804","94,274","24,354","10,232","2,902","3,492","1,089","386,023","236,683","136,496","90,672","100,857","26,223","10,945","3,101","3,729","1,156","354,463","211,748","122,423","89,917","83,931","23,007","8,237","3,795","2,642",219
HELENA (766),"5,115","17,894","3,018","1,584","3,423","1,208","2,348","2,172","2,102","2,117","2,010","2,053","2,358","2,676","2,779","2,697","2,025","2,134","2,220","2,113","2,147","2,007","2,111","2,434","2,853","2,973","2,693","1,999","$60,583 ","$60,733 ","$63,081 ","$63,705 ","$64,554 ","$64,426 ",55,61,74,55,72,60,55,98,136,175,69,41,64,20,18,42.3,22.4,35.3,"21,079","9,020","3,159","1,568","1,850","1,175",675,"71,456","30,099","2,006","33,258",5%,54.1,"$52,298 ","$205,286 ",5%,17563,42429,11464,"67,541",357,"1,818","1,501",383,59,"1,615",472,"28,810",138,155,"74,784","31,541","2,006","33,732",55.8,"$53,347 ","$205,741 ",17893,42216,14675,"70,686",374,"1,902","1,571",401,62,"1,690",491,"30,204",143,158,"69,007","29,041","1,998","32,875",4%,52.4,"$48,101 ","$191,934 ",4%,17468,41785,9754,"65,423",230,"1,708","1,437",363,55,"1,499",441,"27,930",57,138,"60,101","24,602","1,260","33,258","21,079","9,020","2,818","7,398","6,120","2,701",870,998,174,"33,732","22,100","9,441","2,937","7,744","6,427","2,854",912,"1,046",180,"32,875","20,318","8,723","3,354","7,402","5,715","2,537",789,439,82
CASPER-RIVERTON (767),"10,677","36,536","5,580","2,944","6,607","2,313","4,901","4,823","5,052","5,055","4,569","4,425","4,653","5,377","5,580","4,942","3,609","4,581","4,565","4,888","4,811","4,249","4,198","4,599","5,388","5,523","4,871","3,624","$65,606 ","$64,344 ","$66,866 ","$67,910 ","$69,038 ","$67,764 ",179,147,147,156,154,73,112,200,277,289,229,111,118,72,65,40.1,28.1,32.8,"42,617","17,556","5,740","1,637","4,027","2,116","1,911","149,505","60,173","2,890","65,913",7%,52.9,"$52,494 ","$167,900 ",7%,39510,87584,22411,"134,201","1,200","10,441","10,001",923,93,"3,087","2,999","55,861",449,318,"159,751","64,386","2,890","67,781",54.2,"$52,892 ","$167,966 ",41229,90128,28394,"143,508","1,297","11,130","10,552",992,101,"3,301","3,201","59,799",460,331,"142,751","57,421","2,838","64,421",5%,51.3,"$51,158 ","$166,755 ",5%,38626,84556,19569,"128,231",914,"9,629","9,878",812,66,"2,850","2,765","53,461",302,258,"127,560","50,444","2,588","65,913","42,617","17,556","9,009","18,114","9,173","3,321","1,840",726,434,"67,781","45,584","18,802","9,584","19,433","9,781","3,556","1,988",780,462,"64,421","40,684","16,737","8,033","18,439","8,951","2,981",857,"1,180",243
PHOENIX (753),"235,807","1,191,485","178,220","88,582","184,863","71,621","183,580","184,452","183,421","178,592","170,496","169,736","168,040","163,785","148,824","137,263","115,297","172,557","173,759","172,040","170,178","165,387","165,336","166,673","168,606","160,607","152,797","129,484","$62,252 ","$60,889 ","$66,916 ","$70,381 ","$70,207 ","$67,481 ","5,586","5,171","4,960","4,975","4,632","3,742","4,757","7,128","8,512","10,131","6,198","3,456","4,839","3,087","2,291",38.7,29.7,34.3,"1,266,245","658,088","321,988","127,091","185,398","105,404","79,994","5,200,506","1,924,333","107,818","2,246,321",6%,51.1,"$49,176 ","$163,814 ",6%,1437839,2998790,763877,"4,401,906","246,313","1,439,938","244,360","165,898","13,783","128,246","369,160","1,681,904","87,676","53,972","5,505,134","2,038,476","107,818","2,283,029",52.2,"$49,347 ","$163,967 ",1469645,3125293,910196,"4,662,790","262,530","1,530,723","252,280","177,056","14,599","135,879","392,850","1,779,962","93,427","57,356","4,983,589","1,845,288","102,186","2,217,251",4%,50.1,"$48,148 ","$175,674 ",4%,1429920,2887985,665684,"4,229,188","231,874","1,356,632","236,713","154,752","12,638","118,424","346,936","1,619,151","81,413","49,285","3,915,682","1,444,400","65,298","2,246,321","1,266,245","658,088","350,203","443,348","211,877","119,852","52,147","67,584","21,234","2,283,029","1,337,543","700,933","368,879","468,818","224,183","126,517","55,214","71,451","22,481","2,217,251","1,220,923","624,365","279,188","437,757","244,439","114,602","55,387","68,557","20,993"
BUTTE-BOZEMAN (754),"12,504","44,517","6,680","3,617","7,454","2,784","5,920","8,210","7,440","6,462","5,722","5,375","5,595","6,161","6,315","5,835","4,393","6,591","5,423","5,980","5,452","4,915","4,805","5,177","5,961","6,260","5,512","4,092","$57,207 ","$57,448 ","$60,853 ","$63,094 ","$64,265 ","$63,831 ",234,207,282,224,219,241,207,251,393,499,234,128,278,62,70,38.5,24.7,28.6,"47,400","24,963","13,167","6,395","4,947","3,159","1,788","173,828","72,363","7,459","85,530",5%,51.4,"$47,682 ","$227,604 ",5%,41017,107768,25043,"165,408",846,"5,241","2,689","1,570",175,"3,140","1,565","69,769",291,559,"182,088","75,886","7,459","86,724",52.5,"$48,371 ","$229,554 ",42803,107958,31327,"173,289",888,"5,486","2,775","1,670",184,"3,282","1,634","73,153",297,588,"168,381","70,052","7,429","84,501",3%,50,"$44,687 ","$202,515 ",3%,40717,105864,21800,"160,950",569,"4,859","2,432","1,373",154,"2,903","1,437","67,929",147,444,"145,136","57,559","6,532","85,530","47,400","24,963","8,465","11,981","11,788","5,338","2,563","4,438","2,827","86,724","49,581","26,305","8,668","12,440","12,460","5,603","2,688","4,714","3,008","84,501","45,965","24,087","10,039","12,667","10,994","4,904","2,987","3,339","1,035"
GREAT FALLS (755),"11,906","44,793","6,032","3,026","6,382","2,396","5,784","5,772","5,620","5,160","4,618","4,598","5,236","6,089","6,131","5,490","4,285","5,284","5,452","5,194","4,819","4,407","4,458","5,270","6,254","6,294","5,519","4,361","$50,683 ","$51,620 ","$54,582 ","$56,193 ","$57,086 ","$56,859 ",220,230,173,176,175,149,163,306,256,300,149,64,234,40,30,43.1,24.7,36.1,"45,368","22,948","10,681","3,502","4,527","2,613","1,914","169,792","68,316","7,081","78,997",1%,54.4,"$43,349 ","$138,365 ",1%,44444,96213,29135,"139,344","1,442","4,648","23,117",973,130,"4,786","1,240","59,187",574,414,"171,798","69,058","7,081","79,050",55.6,"$44,157 ","$138,161 ",43626,94824,33348,"140,409","1,456","4,700","23,974",983,131,"4,845","1,250","59,627",562,415,"168,295","67,708","7,194","78,912",1%,53.1,"$41,027 ","$133,887 ",1%,45068,96268,26959,"138,518","1,201","4,201","22,839",928,112,"4,697","1,098","58,928",439,357,"170,048","66,586","4,018","78,997","45,368","22,948","15,688","18,235","6,328","2,591",978,"1,057",491,"79,050","45,624","23,434","15,814","18,338","6,343","2,600",972,"1,064",493,"78,912","45,540","22,168","16,247","19,249","6,630","1,820",623,594,377
BILLINGS (756),"21,932","71,392","10,993","5,702","12,270","4,536","9,339","8,477","8,447","8,471","8,000","8,082","8,832","10,217","10,603","9,792","7,620","8,313","8,748","8,637","8,524","7,925","8,143","9,194","10,642","10,810","9,802","7,652","$58,113 ","$56,882 ","$60,135 ","$61,705 ","$62,260 ","$61,780 ",295,289,267,243,200,224,221,376,444,527,265,131,347,130,88,42.7,25.7,34.9,"81,019","35,165","13,528","6,079","7,468","4,373","3,095","281,922","116,184","6,214","129,712",4%,54.1,"$46,453 ","$173,897 ",4%,71678,162911,47333,"253,194","1,623","12,294","19,151","1,665",203,"6,086","3,443","108,296",621,598,"293,697","121,118","6,214","135,255",55.5,"$46,612 ","$174,070 ",72699,163429,57569,"263,835","1,700","12,833","19,855","1,739",212,"6,356","3,594","112,892",618,611,"273,766","112,764","6,250","128,334",3%,52.7,"$45,143 ","$170,485 ",3%,71223,160663,41880,"246,613","1,249","11,434","18,732","1,468",168,"5,536","3,195","105,574",384,479,"251,620","100,046","5,507","129,712","81,019","35,165","16,531","32,448","17,921","7,202","2,411","3,244","1,262","135,255","84,511","36,607","17,159","33,882","18,761","7,548","2,504","3,352","1,305","128,334","78,485","34,279","17,958","30,197","17,228","7,090","2,465","2,324","1,223"
